id,contract,completed,notcompleted,name,INN,SB,government
2612805193,33,33,0,"общество с ограниченной ответственностью метсталь",5003122013,1,0
2612805195,26,26,0,"общество с ограниченной ответственностью элитэко",7717762446,1,0
2612805197,27,27,0,"общество с ограниченной ответственностью главэкспертиза",7707818146,0,0
2612805199,49,49,0,"ооо арт-столица",7729649050,1,0
2612805201,17,17,0,"общество с ограниченной ответственностью гермес секьюритиз",7727346597,1,0
2612805202,14,14,0,"общество с ограниченной ответственностью институт акустических конструкций",7801514900,0,0
2612805207,40,40,0,"общество с ограниченной ответственностью градиент м",7718718538,1,0
2612805211,19,19,0,"ооо самаст",7706454753,0,0
2612805212,15,15,0,"общество с ограниченной ответственностью главснабстрой",5027231702,0,0
2612805215,22,22,0,"общество с ограниченной ответственностью национальный институт качества",1655251141,1,0
2612805217,5,4,1,"общество с ограниченной ответственностью мегатерм1",5078015570,0,0
2612805218,24,24,0,"общество с ограниченной ответственностью асиметри",7730716336,1,0
2612805223,31,31,0,"общества с ограниченной ответственностью сэрвэт",7703444588,0,0
2612805225,62,59,3,"общество с ограниченной ответственностью медикалайф",7723904240,1,0
2612805227,56,56,0,"общество с ограниченной ответственностью экспилайн",3444137620,1,0
2612805231,66,63,3,"общество с ограниченной ответственностью строительное управление36",7727637229,1,0
2612805235,34,34,0,"общество с ограниченной ответственностью славмедтехника",7722665078,0,0
2612805238,42,42,0,"общество с ограниченной ответственностью арв профи",7722382305,1,0
2612805241,48,48,0,"общество с ограниченной ответственностью металл сервис",3123348403,1,0
2612805242,38,38,0,"ооо электроавтоматика",7713650950,1,0
2612805246,23,23,0,"общество с ограниченной ответственностью альянс",7727543490,0,0
2612805248,58,55,3,"общество с ограниченной ответственностью грин компани",7713645170,1,0
2612805249,16,16,0,"общество с ограниченной ответственностью научнопроизводственное предприятие фолтер",7713034421,1,0
2612805250,32,32,0,"общество с ограниченной ответственностью группа компаний птк спорт",7806296130,1,0
2612805252,18,18,0,"общество с ограниченной ответственностью геомастер",2724156711,1,0
2612805253,43,43,0,"общество с ограниченной ответственностью русское музыкальное издательство",7708805421,0,0
2612805255,48,48,0,"общество с ограниченной ответственностью веб софт шоп",6950136882,1,0
2612805256,49,49,0,"общество с ограниченной ответственностью новые строительные технологии",7718805597,1,0
2612805257,62,59,3,"общество с ограниченной ответственностью чистовик",7729466459,1,0
2612805259,56,56,0,"общество с ограниченной ответственностью медингоф",6449078571,1,0
2612805262,54,54,0,"общество с ограниченной ответственностью компания энтэй",7722327008,1,0
2612805264,24,24,0,"общество с ограниченной ответственностью гуд бир бар",7714820788,1,0
2612805265,49,49,0,"общество с ограниченной ответственностью ремтехкомплект",7730232631,0,0
2612805269,44,44,0,"общество с ограниченной ответственностью айтиком",7714407563,1,0
2612805270,17,17,0,"ооо эска",7720363882,0,0
2612805271,9,9,0,"общество с ограниченной ответственностью кристалл сервис",5074056014,1,0
2612805272,34,34,0,"общество с ограниченной ответственностью институт медиа",7714894187,0,0
2612805273,61,58,3,"рольф, филиал звезда столицы каширка",5047059383,0,0
2612805274,41,41,0,"общество с ограниченной ответственностью су7",7715989850,1,0
2612805275,17,17,0,"общество с ограниченной ответственностью валконмарин",7819320310,0,0
2612805276,44,44,0,"общество с ограниченной ответственностью стройальянс",7733223402,1,0
2612805277,65,61,3,"общество с ограниченной ответственностью медсила",7728396167,0,0
2612805281,59,56,3,"общество с ограниченной ответственностью тэн плюс",4020006079,1,0
2612805282,58,55,3,"ооо фирма пьезоприор",7724000833,1,0
2612805283,39,39,0,"общество с ограниченной ответственностью принципиум",4025450680,0,0
2612805287,27,27,0,"общество с ограниченной ответственностью экспертстрой",7725304545,1,0
2612805290,47,47,0,"общество с ограниченной ответственностью мснцентрстрой",7743747268,1,0
2612805294,39,39,0,"общество с ограниченной ответственностью онланта",7722653629,0,0
2612805295,61,58,3,"общество с ограниченной ответственностью профстрой",7724926832,1,0
2612805297,56,56,0,"общество с ограниченной ответственностью ам строй",7743248879,1,0
2612805299,9,9,0,"общество с ограниченной ответственностью стеклопластинженеринг",5018096849,1,0
2612805301,50,50,0,"общество с ограниченной ответственностью хорошее настроение",7725791930,0,0
2612805304,26,26,0,"общество с ограниченной ответственностью медиа кафе",7734386978,1,0
2612805305,54,54,0,"общество с ограниченной ответственностью стройинжсервис2",7705220583,0,0
2612805309,33,33,0,"общество с ограниченной ответственностью элис дизайн",7719410432,1,0
2612805310,1,1,0,"ооо классика чистоты",3123330607,1,0
2612805312,1,0,1,"общество с ограниченной ответственностью кроу экспертиза",7708000473,1,0
2612805313,5,2,3,"общество с ограниченной ответственностью гардероб комплект",7720713640,1,0
2612805315,1,0,1,"общество с ограниченной ответственностью чоп бастионъ2000",7701176823,1,0
2612805317,5,2,3,"общество с ограниченной ответственностью сэрвэт",7703444588,0,0
2612805320,1,0,1,"общество с ограниченной ответственностью строймонтаж",7718662010,0,0
2612805324,1,0,1,"общество с ограниченной ответственностью строительномонтажная эксплуатационная компания",7802808684,1,0
2612805328,5,2,3,"общество с ограниченной ответственностью зар",7723471131,1,0
2612805329,7,3,4,"общество с ограниченной ответственностью мфф",7709813168,1,0
2612805335,1,0,1,"общество с ограниченной ответственностью лигаторг",7721309849,1,0
